Generation	Size	Frequency	Count
0.000000	1	0.125000	0
0.000000	2	0.250000	0
0.000000	3	0.375000	0
0.000000	4	0.500000	0
0.000000	5	0.625000	0
0.000000	6	0.750000	0
0.000000	7	0.875000	0
0.000000	8	1.000000	1
0.000000	9	1.125000	0
0.000000	10	1.250000	0
10.198244	1	0.007194	4
10.198244	2	0.014388	0
10.198244	3	0.021583	0
10.198244	4	0.028777	0
10.198244	5	0.035971	0
10.198244	6	0.043165	0
10.198244	7	0.050360	0
10.198244	8	0.057554	0
10.198244	9	0.064748	0
10.198244	10	0.071942	0
10.198244	139	1.000000	1
20.209154	1	0.002128	35
20.209154	2	0.004255	3
20.209154	3	0.006383	1
20.209154	4	0.008511	1
20.209154	5	0.010638	0
20.209154	6	0.012766	0
20.209154	7	0.014894	0
20.209154	8	0.017021	0
20.209154	9	0.019149	0
20.209154	10	0.021277	0
20.209154	470	1.000000	1
30.216413	1	0.001024	109
30.216413	2	0.002047	6
30.216413	3	0.003071	3
30.216413	4	0.004094	2
30.216413	5	0.005118	1
30.216413	6	0.006141	3
30.216413	7	0.007165	1
30.216413	8	0.008188	0
30.216413	9	0.009212	0
30.216413	10	0.010235	0
30.216413	977	1.000000	1
30.216413	38	0.038895	1
30.216413	26	0.026612	1
30.216413	18	0.018424	1
30.640291	1	0.001000	111
30.640291	2	0.002000	7
30.640291	3	0.003000	3
30.640291	4	0.004000	2
30.640291	5	0.005000	0
30.640291	6	0.006000	3
30.640291	7	0.007000	1
30.640291	8	0.008000	1
30.640291	9	0.009000	0
30.640291	10	0.010000	0
30.640291	1000	1.000000	1
30.640291	38	0.038000	1
30.640291	27	0.027000	1
30.640291	18	0.018000	1
